REGION;CITY;addr:street;addr:housenumber;SEX;count;;;
Челябинская;Челябинск;3 Интернационала;59;женский;2;;;
Челябинская;Челябинск;3 Интернационала;61А;мужской;2;;;
Челябинская;Челябинск;3 Интернационала;62;мужской;3;;;
Челябинская;Челябинск;3 Интернационала;62;женский;2;;;
Челябинская;Челябинск;3 Интернационала;62А;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;63;женский;1;;;
Челябинская;Челябинск;3 Интернационала;63А;мужской;2;;;
Челябинская;Челябинск;3 Интернационала;64;женский;2;;;
Челябинская;Челябинск;3 Интернационала;64;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;64А;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;65;женский;2;;;
Челябинская;Челябинск;3 Интернационала;65;женский;1;;;
Челябинская;Челябинск;3 Интернационала;65А;мужской;2;;;
Челябинская;Челябинск;3 Интернационала;66;женский;1;;;
Челябинская;Челябинск;3 Интернационала;66А;мужской;2;;;
Челябинская;Челябинск;3 Интернационала;68;женский;1;;;
Челябинская;Челябинск;3 Интернационала;68А;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;7;женский;2;;;
Челябинская;Челябинск;3 Интернационала;70;мужской;2;;;
Челябинская;Челябинск;3 Интернационала;70;женский;1;;;
Челябинская;Челябинск;3 Интернационала;71;мужской;2;;;
Челябинская;Челябинск;3 Интернационала;90А;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;92;мужской;1;;;
Челябинская;Челябинск;3 Интернационала;92А;женский;2;;;
Челябинская;Челябинск;3 Интернационала;94;мужской;3;;;
Челябинская;Челябинск;3 Интернационала;94А;мужской;1;;;
Челябинская;Челябинск;3 Подсобное х-во;79;мужской;1;;;
Челябинская;Челябинск;3 Подсобное х-во;81;женский;4;;;
Челябинская;Челябинск;3 Сентября;28;мужской;1;;;
Челябинская;Челябинск;3 Сентября;28Б;женский;2;;;
Челябинская;Челябинск;3 Сентября;5;мужской;2;;;
Челябинская;Челябинск;3 Сентября;5;женский;2;;;
Челябинская;Челябинск;3 Сентября;6;мужской;1;;;
Челябинская;Челябинск;3 Сентября;7;женский;3;;;
Челябинская;Челябинск;3 Сентября;8;мужской;1;;;
Челябинская;Челябинск;30 км Станция;3;женский;2;;;
Челябинская;Челябинск;30 лет Октября;10;женский;1;;;
Челябинская;Челябинск;30 лет Октября;11;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;11А;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;12;женский;1;;;
Челябинская;Челябинск;30 лет Октября;146;женский;1;;;
Челябинская;Челябинск;30 лет Октября;15;мужской;2;;;
Челябинская;Челябинск;30 лет Октября;17;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;18;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;19;женский;1;;;
Челябинская;Челябинск;30 лет Октября;21;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;23;женский;1;;;
Челябинская;Челябинск;30 лет Октября;25;мужской;3;;;
Челябинская;Челябинск;30 лет Октября;26;женский;3;;;
Челябинская;Челябинск;30 лет Октября;27;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;27А;женский;2;;;
Челябинская;Челябинск;30 лет Октября;29;мужской;2;;;
Челябинская;Челябинск;30 лет Октября;3;женский;1;;;
Челябинская;Челябинск;30 лет Октября;30;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;31;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;31;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;33;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;35;женский;1;;;
Челябинская;Челябинск;30 лет Октября;37;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;38;женский;1;;;
Челябинская;Челябинск;30 лет Октября;39;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;4;женский;2;;;
Челябинская;Челябинск;30 лет Октября;40А;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;41;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;42;женский;1;;;
Челябинская;Челябинск;30 лет Октября;46;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;46А;женский;1;;;
Челябинская;Челябинск;30 лет Октября;48;мужской;1;;;
Челябинская;Челябинск;30 лет Октября;5;женский;1;;;
Челябинская;Челябинск;30 лет Октября;55;мужской;2;;;
Челябинская;Челябинск;30 лет Октября;9;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;1;мужской;2;;;
Челябинская;Челябинск;32 Годовщины Октября;10;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;100;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;101;мужской;2;;;
Челябинская;Челябинск;32 Годовщины Октября;102;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;103;женский;2;;;
Челябинская;Челябинск;32 Годовщины Октября;104;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;104А;мужской;2;;;
Челябинская;Челябинск;32 Годовщины Октября;105;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;106;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;107;мужской;3;;;
Челябинская;Челябинск;32 Годовщины Октября;108;женский;3;;;
Челябинская;Челябинск;32 Годовщины Октября;109;мужской;3;;;
Челябинская;Челябинск;32 Годовщины Октября;11;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;110;мужской;2;;;
Челябинская;Челябинск;32 Годовщины Октября;115;женский;1;;;
Челябинская;Челябинск;32 Годовщины Октября;117А;женский;2;;;
Челябинская;Челябинск;32 Годовщины Октября;119;женский;3;;;
